epoch,box_loss,cls_loss,val_box_loss,val_cls_loss
1,1.5212,3.4347,1.4546,3.2572
2,1.5172,1.852,1.6248,2.5882
3,1.4543,1.509,1.6423,1.9409
4,1.4362,1.5184,1.5663,1.9637
5,1.4432,1.3866,1.6138,1.7726
6,1.4572,1.3357,1.5651,1.4707
7,1.4067,1.2287,1.5664,1.3471
8,1.3922,1.2015,1.5257,1.3437
9,1.3883,1.1903,1.5467,1.3713
10,1.3442,1.1379,1.5093,1.2521
11,1.354,1.1223,1.4937,1.2761
12,1.3434,1.0955,1.5183,1.2641
13,1.3383,1.0553,1.5342,1.1387
14,1.2944,1.0196,1.5384,1.3301
15,1.3038,1.0336,1.5288,1.1759
16,1.2712,0.97078,1.5227,1.116
17,1.2506,0.94349,1.483,1.1629
18,1.2653,0.95218,1.4771,1.1166
19,1.2514,0.94444,1.5192,1.1737
20,1.263,0.91182,1.5041,1.1102
21,1.2208,0.89256,1.4799,1.0674
22,1.2245,0.89235,1.4619,1.0139
23,1.2364,0.87262,1.4917,1.033
24,1.1731,0.84707,1.4745,1.0981
25,1.2242,0.86885,1.4975,1.1129
26,1.2115,0.84966,1.4427,0.99934
27,1.1911,0.80915,1.4814,1.0453
28,1.1975,0.82192,1.4658,1.0291
29,1.1355,0.77965,1.4575,0.9882
30,1.1422,0.76506,1.4713,1.0433
31,1.1707,0.79137,1.5024,1.0498
32,1.1576,0.77132,1.4583,0.99176
33,1.118,0.73421,1.4543,0.98635
34,1.1145,0.74714,1.4668,1.0017
35,1.1148,0.73816,1.4644,0.99545
36,1.087,0.73245,1.4608,0.97286
37,1.0764,0.70813,1.4545,0.99477
38,1.0776,0.71335,1.443,0.99345
39,1.0844,0.71903,1.4641,0.99748
40,1.0677,0.67902,1.4354,0.98909
41,1.0764,0.68691,1.4266,0.95064
42,1.0634,0.6751,1.4371,0.94498
43,1.0471,0.67288,1.4507,0.95635
44,1.0725,0.67909,1.4506,0.95261
45,1.0339,0.6599,1.427,0.95384
46,1.0254,0.6588,1.4418,0.94528
47,1.0433,0.65098,1.4623,1.0018
48,1.032,0.64695,1.4589,0.96955
49,1.0374,0.63765,1.4599,0.98074
50,1.0361,0.64767,1.4601,0.99896
51,0.99523,0.61244,1.444,0.96661
52,0.99658,0.61461,1.4448,0.93602
53,1.0012,0.62373,1.4273,0.8909
54,0.9914,0.61199,1.4409,0.91178
55,0.99613,0.6215,1.4664,0.95341
56,0.95962,0.59277,1.45,0.9129
57,0.96444,0.58081,1.4216,0.90891
58,0.93358,0.57822,1.4478,0.92642
59,0.94838,0.58762,1.4635,0.94567
60,0.94002,0.58032,1.4659,0.94328
61,0.92098,0.56905,1.4363,0.93156
62,0.93061,0.57597,1.4275,0.91184
63,0.94016,0.56795,1.4585,0.92544
64,0.93859,0.56787,1.46,0.91628
65,0.89594,0.54671,1.4368,0.93586
66,0.9276,0.56141,1.444,0.94556
67,0.90304,0.55156,1.4356,0.95263
68,0.88827,0.53711,1.4171,0.91353
69,0.88825,0.53676,1.4152,0.90669
70,0.8958,0.53977,1.4192,0.91211
71,0.88324,0.534,1.422,0.92157
72,0.90328,0.52904,1.4165,0.93232
73,0.87142,0.52317,1.422,0.89199
74,0.8736,0.51573,1.4276,0.91743
75,0.85068,0.51273,1.4284,0.93365
76,0.83964,0.50013,1.4131,0.93242
77,0.84968,0.50418,1.421,0.92835
78,0.85067,0.51319,1.4207,0.92713
79,0.82895,0.50667,1.4099,0.9202
80,0.84032,0.49533,1.4222,0.93427
81,0.83072,0.49712,1.4369,0.91603
82,0.81485,0.48745,1.4304,0.91457
83,0.80032,0.47521,1.4129,0.91988
84,0.79737,0.47368,1.4241,0.92109
85,0.80696,0.48491,1.4151,0.93593
86,0.80827,0.48094,1.4249,0.93122
87,0.79345,0.48531,1.4161,0.91882
88,0.79391,0.47847,1.4219,0.92694
89,0.77883,0.45894,1.4205,0.92094
90,0.78802,0.47012,1.4296,0.93829
91,0.77993,0.46752,1.437,0.94523
92,0.75454,0.42811,1.4482,0.95452
93,0.73873,0.4103,1.4432,0.92834
94,0.72042,0.40074,1.45,0.93738
95,0.7285,0.40613,1.4509,0.94927
96,0.7333,0.40405,1.4439,0.94114
97,0.70638,0.39843,1.4448,0.93849
98,0.70288,0.38681,1.4503,0.9412
99,0.69578,0.38915,1.4466,0.93954
100,0.68444,0.38517,1.4477,0.94318
